"Origin_State"	"Dest_State"	"AllQueries"	"HousingQuery"	"HousingRent"	"HousingBuy"	"HousingApartment"	"HousingCondo"	"HousingDuplex"	"HousingTownhouse"	"HousingHouse"	"HousingHome"	"JobQuery"	"JobArchitectureEngineering"	"JobArt"	"JobBusiness"	"JobConstruction"	"JobEducation"	"JobFinance"	"JobFood"	"JobHealthcare"	"JobLeisureHospitality"	"JobManufacturing"	"JobRetail"	"JobScience"	"JobTechnology"	"JobTransportation"
"New York"	"Florida"	539720	498789	100934	264466	59175	134721	1026	7642	32922	263303	40931	98	330	926	303	1784	880	300	4025	662	214	346	90	128	1097
"Georgia"	"Florida"	373676	333095	95115	181550	41937	121841	649	4930	23855	139883	40581	169	240	935	338	1215	668	416	3688	1183	342	203	124	230	1418
"California"	"Arizona"	318656	274234	88281	93880	62132	13316	876	3536	18885	175489	44422	204	169	609	315	2685	562	173	3844	448	257	333	73	109	1028
"North Carolina"	"South Carolina"	317186	266488	85226	127020	35916	57924	491	4574	29250	138333	50698	119	268	718	352	2235	948	222	3691	388	384	433	144	316	997
"California"	"Texas"	303906	251858	89802	77885	64495	7592	1475	5091	20459	152746	52048	286	313	876	407	1390	1063	159	6132	390	378	697	244	328	1436
"Ohio"	"Florida"	296595	273717	65351	143820	26179	88666	571	1868	15942	140491	22878	80	105	356	187	1115	406	95	2527	325	202	141	69	74	560
"Pennsylvania"	"Florida"	287808	260913	63127	124752	31309	60092	438	3314	17783	147977	26895	103	167	1027	360	1017	496	182	2652	393	163	160	126	118	833
"New Jersey"	"Florida"	257808	238404	50081	118239	27123	55075	467	3723	15621	136395	19404	83	98	368	321	783	549	112	1595	414	111	126	79	99	582
"California"	"Nevada"	250984	208523	66353	80889	42232	17865	683	3397	15913	128433	42461	188	227	612	460	751	446	329	2616	2046	403	233	81	214	1355
"Illinois"	"Florida"	246137	224781	52870	113645	23785	66937	469	3013	14255	116322	21356	55	145	383	126	806	587	67	1787	597	144	123	44	75	504
"New York"	"New Jersey"	221822	195602	63383	84407	50892	22055	218	4278	21148	97011	26220	34	68	525	164	1169	496	148	1686	555	119	115	64	162	642
"California"	"Oregon"	217581	195687	37733	60395	22968	6461	709	1004	11374	153171	21894	179	157	332	169	694	254	101	1459	148	100	96	91	123	394
"Tennessee"	"Florida"	208938	192830	47744	116345	18004	92274	406	2092	12562	67492	16108	32	81	257	149	546	209	88	2236	202	96	94	59	42	346
"Texas"	"Florida"	207993	183679	57211	86993	29434	51721	487	3523	14683	83831	24314	175	125	396	249	841	430	164	1648	373	323	139	108	115	773
"Florida"	"Georgia"	203482	170525	63045	64365	34560	6629	303	3874	15924	109235	32957	105	297	770	247	950	830	148	2800	230	251	200	155	183	914
"Massachusetts"	"Florida"	200898	188779	34861	93838	17846	49094	330	1154	10799	109556	12119	35	78	192	110	503	349	53	1201	241	97	72	30	65	333
"New Jersey"	"New York"	192657	138293	50284	44034	44465	10882	299	1787	12495	68365	54364	449	2031	2534	733	2420	2540	458	4163	832	270	498	286	497	750
"Michigan"	"Florida"	188801	176508	42250	93448	16827	61138	489	1377	9085	87592	12293	69	82	178	87	415	178	117	1183	148	94	50	79	72	262
"Pennsylvania"	"New Jersey"	188196	170959	43538	74114	25115	27672	644	2551	19587	95390	17237	35	60	436	119	784	460	116	1676	248	89	108	60	38	621
"Virginia"	"North Carolina"	186471	155188	49687	59501	25305	11467	324	3101	18084	96907	31283	138	180	597	221	1043	405	117	2644	155	248	169	182	142	843
"Washington"	"Oregon"	184092	152769	48806	47176	30480	10926	1037	1263	12924	96139	31323	213	286	429	178	865	267	133	2014	187	456	147	111	164	797
"California"	"Florida"	181661	160906	37055	57720	22889	23374	447	2346	10269	101581	20755	72	122	327	116	798	696	103	1253	1099	61	111	52	100	468
"California"	"Washington"	180317	159085	45666	49758	31810	7910	793	2076	11341	105155	21232	248	195	329	148	606	297	103	1450	127	258	141	109	180	380
"Alabama"	"Florida"	178244	160753	39407	99821	15255	80608	291	1756	10714	52129	17491	100	119	246	175	565	349	121	2485	164	183	93	86	107	451
"Indiana"	"Florida"	177027	165233	38597	96647	13957	68295	261	1176	8586	72958	11794	39	53	146	106	311	310	74	1113	142	107	81	28	55	323
"Virginia"	"Florida"	176081	154151	45846	66867	24545	27436	330	2184	13027	86629	21930	104	122	459	205	760	477	94	1372	346	154	199	87	134	440
"Texas"	"California"	175019	140571	65427	41790	46808	8421	706	2582	13035	69019	34448	211	568	558	142	1253	455	172	2633	340	198	157	126	179	675
"New Jersey"	"Pennsylvania"	174719	145769	44945	58580	32227	5882	314	3837	16226	87283	28950	86	729	991	230	2155	833	138	2831	458	206	184	237	276	848
"Oregon"	"Washington"	173095	146617	49324	45263	33340	6027	1640	1694	12999	90917	26478	93	105	383	140	784	339	105	1794	185	186	125	87	155	474
